# # sphere_volume_A3  var_Nv  var_Nv_sem  mean_Nv  dVar_dv  dVar_dv_sem  bulk_slope_A^-3
# # T_K = 300.0
# # kB_J_per_K = 1.380649e-23
# # n_frames = 56938
# # n_centers_per_frame = 100
# # n_samples_total = 5693800
# # rho_bulk_A^-3 = 0.03281263291045572
# # rho_bulk_sem_A^-3 = 4.1894505246169386e-07
# # kappa_T_from_NpT_volume_fluctuations_A3_per_J = 4.794971096338585e+20
# # kappa_T_from_NpT_volume_fluctuations_sem_A3_per_J = 2.8758832917172516e+18
# # bulk_slope_A^-3 = 0.0021383199647355524
# 
7.963282878380626926e+02 4.540492198888019360e+00 2.714611318921638251e-03 2.612907249991218350e+01 4.491628360937062470e-03 1.682524820123533721e-05 2.138319964735552366e-03
9.047786842338603037e+02 5.026682036938152187e+00 3.017126770194704637e-03 2.968749727774070024e+01 4.470538088245153835e-03 1.700364490303261084e-05 2.138319964735552366e-03
1.022653858590427376e+03 5.552042957721535998e+00 3.314687792756568045e-03 3.355539393726509445e+01 4.390948194806596622e-03 1.731057940942203424e-05 2.138319964735552366e-03
1.150346509989462447e+03 6.103608220457569011e+00 3.670820201288615536e-03 3.774603270223752105e+01 4.236813728623899794e-03 1.747257845365692391e-05 2.138319964735552366e-03
1.288249337512664397e+03 6.675566064644869790e+00 4.032311829924685627e-03 4.227018616741016643e+01 4.099385593397043837e-03 1.759105224748173317e-05 2.138319964735552366e-03
1.436755040241731876e+03 7.276646760462923247e+00 4.388260526047125729e-03 4.714380308405634423e+01 4.059702310805862052e-03 1.778293081852009116e-05 2.138319964735552366e-03
1.596256317258363651e+03 7.926260395757340760e+00 4.806634073424330585e-03 5.237677104921142046e+01 4.040672172304905080e-03 1.801414961542687339e-05 2.138319964735552366e-03
1.767145867644258487e+03 8.610890366368964877e+00 5.244383467640615498e-03 5.798419087428430885e+01 3.984572461058606685e-03 1.818946656301631133e-05 2.138319964735552366e-03
1.949816390481114922e+03 9.334517226960914016e+00 5.704803688025788730e-03 6.397787523270926613e+01 3.915522814134216045e-03 1.841543441867833620e-05 2.138319964735552366e-03
2.144660584850631949e+03 1.008790421846961749e+01 6.221045930052154782e-03 7.037253222803751385e+01 3.825797281802958277e-03 1.851977161772631124e-05 2.138319964735552366e-03
2.352071149834508105e+03 1.087240351521524495e+01 6.692557698000647752e-03 7.717798587937757304e+01 3.790603578831427262e-03 1.872316284771101063e-05 2.138319964735552366e-03
2.572440784514441930e+03 1.170966998140733750e+01 7.219438829687683905e-03 8.440888580561312438e+01 3.728692056365608826e-03 1.883108472116361368e-05 2.138319964735552366e-03
2.806162187972132870e+03 1.256362454958691721e+01 7.751042665339782922e-03 9.207903122694861509e+01 3.674472162458464891e-03 1.899329288433683190e-05 2.138319964735552366e-03
3.053628059289278553e+03 1.347836621336283791e+01 8.384474045996610433e-03 1.001977457936703075e+02 3.653127839282482858e-03 1.923477679837620201e-05 2.138319964735552366e-03
3.315231097547578884e+03 1.442205887992483504e+01 9.036012556379289379e-03 1.087796515508096462e+02 3.625445206108451196e-03 1.933600526017864777e-05 2.138319964735552366e-03
3.591364001828731489e+03 1.542843897357498939e+01 9.656292973760138842e-03 1.178392409287294953e+02 3.601132339623381445e-03 1.958897567261080121e-05 2.138319964735552366e-03
3.882419471214435816e+03 1.646324846496632333e+01 1.040881289265958853e-02 1.273912497804629567e+02 3.536965036348545255e-03 1.959659716466747383e-05 2.138319964735552366e-03
4.188790204786390859e+03 1.754093602160969212e+01 1.112222422461303824e-02 1.374430109944149763e+02 3.517593028807564689e-03 3.145850214391066995e-05 2.138319964735552366e-03
