# # R_Angstrom  sphere_volume_A3  mean_Nv  var_Nv  var_Nv_sem  rho_sub_A^-3  rho_bulk_A^-3  kappa_local_A3_per_J  kappa_local_sem_A3_per_J  kappa_local_over_kappa_bulk  kappa_local_over_kappa_bulk_sem
# # T_K = 300.0
# # kB_J_per_K = 1.380649e-23
# # n_frames = 56938
# # n_centers_per_frame = 100
# # n_samples_total = 5693800
# # V_mean_A3 = 213943.97641766377
# # V_mean_sem_A3 = 2.731770389063598
# # V_var_A6 = 424903.7798317558
# # V_var_sem_A6 = 2548.442706496807
# # rho_bulk_A^-3 = 0.03281263291045572
# # rho_bulk_sem_A^-3 = 4.1894505246169386e-07
# # kappa_T_from_NpT_volume_fluctuations_A3_per_J = 4.794971096338585e+20
# # kappa_T_from_NpT_volume_fluctuations_sem_A3_per_J = 2.8758832917172516e+18
3.500000000000000000e+00 1.795943800302164846e+02 5.893011170044609948e+00 1.465275520563483314e+00 8.625558873272988611e-04 3.281289297055464682e-02 3.281263291045571906e-02 1.829516845227951522e+21 1.082264775572655488e+18 3.815490872562216751e+00 2.257083001812184523e-03
3.750000000000000000e+00 2.208932334555323109e+02 7.248274614492957291e+00 1.682599008096378190e+00 9.925503643094704242e-04 3.281347509430204701e-02 3.281263291045571906e-02 1.708049183967004066e+21 1.012360700415749632e+18 3.562167841368765853e+00 2.111296773381560101e-03
4.000000000000000000e+00 2.680825731063289936e+02 8.796716955284695771e+00 1.944921208191965789e+00 1.156029263335456346e-03 3.281346061907453038e-02 3.281263291045571906e-02 1.626806041219979018e+21 9.707300206893495040e+17 3.392733779901613289e+00 2.024475228704911318e-03
4.250000000000000000e+00 3.215550980643052412e+02 1.055172556113667426e+01 2.246658522041133477e+00 1.343603533237119896e-03 3.281467351833593921e-02 3.281263291045571906e-02 1.566635498215413121e+21 9.401286158543827200e+17 3.267247010960478981e+00 1.960655438720496514e-03
4.500000000000000000e+00 3.817035074111598192e+02 1.252410095191260631e+01 2.570516929689802499e+00 1.531965200974862119e-03 3.281107118154408947e-02 3.281263291045571906e-02 1.510178529694198006e+21 9.027115281358959360e+17 3.149504969586495839e+00 1.882621417311987171e-03
4.750000000000000000e+00 4.489205002285914361e+02 1.472973444799606568e+01 2.916456147948288891e+00 1.721530747400234779e-03 3.281145423409188855e-02 3.281263291045571906e-02 1.456850261007072494e+21 8.618583450337841920e+17 3.038287888991689556e+00 1.797421356078443859e-03
5.000000000000000000e+00 5.235987755982988574e+02 1.718075187045558394e+01 3.290334889243315075e+00 1.962722585173254548e-03 3.281281903461999438e-02 3.281263291045571906e-02 1.409134083623450575e+21 8.423356208349178880e+17 2.938774927547442406e+00 1.756706357371207085e-03
5.250000000000000000e+00 6.061310326019806780e+02 1.988815255189855691e+01 3.687900539972861047e+00 2.191573885809149601e-03 3.281163887373214627e-02 3.281263291045571906e-02 1.364391923893137048e+21 8.129019759357655040e+17 2.845464334362682202e+00 1.695321952110396017e-03
5.500000000000000000e+00 6.969099703213357770e+02 2.286649618883697954e+01 4.093161328554964840e+00 2.447461232734483762e-03 3.281126280672028162e-02 3.281263291045571906e-02 1.317084448552084570e+21 7.894859032222803200e+17 2.746803728510070819e+00 1.646487303802785527e-03
5.750000000000000000e+00 7.963282878380626926e+02 2.612907249991218350e+01 4.540492198888019360e+00 2.714611318921638251e-03 3.281193560365604223e-02 3.281263291045571906e-02 1.278595944634500514e+21 7.659893876182286080e+17 2.666535249004586827e+00 1.597484890374280091e-03
6.000000000000000000e+00 9.047786842338603037e+02 2.968749727774070024e+01 5.026682036938152187e+00 3.017126770194704637e-03 3.281188847069180237e-02 3.281263291045571906e-02 1.245839827132421243e+21 7.491753428877112320e+17 2.598221766307909686e+00 1.562418892284413770e-03
6.250000000000000000e+00 1.022653858590427376e+03 3.355539393726509445e+01 5.552042957721535998e+00 3.314687792756568045e-03 3.281207385607100291e-02 3.281263291045571906e-02 1.217432408525331497e+21 7.281595731183580160e+17 2.538977574765688860e+00 1.518590119707659801e-03
6.500000000000000000e+00 1.150346509989462447e+03 3.774603270223752105e+01 6.103608220457569011e+00 3.670820201288615536e-03 3.281275022304652039e-02 3.281263291045571906e-02 1.189788371886399029e+21 7.168854475672208640e+17 2.481325430292823597e+00 1.495077724482283014e-03
6.750000000000000000e+00 1.288249337512664397e+03 4.227018616741016643e+01 6.675566064644869790e+00 4.032311829924685627e-03 3.281211558705313114e-02 3.281263291045571906e-02 1.162005865829321671e+21 7.032865540472499200e+17 2.423384505313542547e+00 1.466716983099806276e-03
